"Team","Year","Value Column Name","Value"
"South Korea","2002","No. of Gold Medals won By Female","5"
"South Korea","2002","Medals Won By Women %","1"
"South Korea","2002","Total No. of Female Participants","15"
"South Korea","2002","Female Participants%","0.32608695652173914"
"South Korea","2004","Total No. of Medals Won for Women","26"
"South Korea","2004","No. of Gold Medals won By Female","5"
"South Korea","2004","Medals Won By Women %","0.5652173913043478"
"South Korea","2004","Total No. of Female Participants","110"
"South Korea","2004","Female Participants%","0.44176706827309237"
"South Korea","2006","Total No. of Medals Won for Women","8"
"South Korea","2006","No. of Gold Medals won By Female","7"
"South Korea","2006","Medals Won By Women %","0.42105263157894735"
"South Korea","2006","Total No. of Female Participants","14"
"South Korea","2006","Female Participants%","0.35"
"South Korea","2008","Total No. of Medals Won for Women","28"
"South Korea","2008","No. of Gold Medals won By Female","6"
"South Korea","2008","Medals Won By Women %","0.3888888888888889"
"South Korea","2008","Total No. of Female Participants","99"
"South Korea","2008","Female Participants%","0.391304347826087"
"South Korea","2010","Total No. of Medals Won for Women","5"
"South Korea","2010","No. of Gold Medals won By Female","2"
"South Korea","2010","Medals Won By Women %","0.2777777777777778"
"South Korea","2010","Total No. of Female Participants","18"
"South Korea","2010","Female Participants%","0.4"
"South Korea","2012","Total No. of Medals Won for Women","15"
"South Korea","2012","No. of Gold Medals won By Female","7"
"South Korea","2012","Medals Won By Women %","0.2542372881355932"
"South Korea","2012","Total No. of Female Participants","112"
"South Korea","2012","Female Participants%","0.4609053497942387"
"South Korea","2014","Total No. of Medals Won for Women","11"
"South Korea","2014","No. of Gold Medals won By Female","7"
"South Korea","2014","Medals Won By Women %","0.7857142857142857"
"South Korea","2014","Total No. of Female Participants","30"
"South Korea","2014","Female Participants%","0.47619047619047616"
"South Korea","2016","Total No. of Medals Won for Women","10"
"South Korea","2016","No. of Gold Medals won By Female","7"
"South Korea","2016","Medals Won By Women %","0.4166666666666667"
"South Korea","2016","Total No. of Female Participants","100"
"South Korea","2016","Female Participants%","0.5025125628140703"
"France","1998","Total No. of Medals Won for Women","2"
"France","1998","No. of Gold Medals won By Female","1"
"France","1998","Medals Won By Women %","0.15384615384615385"
"France","1998","Total No. of Female Participants","26"
"France","1998","Female Participants%","0.2736842105263158"
"France","2000","Total No. of Medals Won for Women","13"
"France","2000","No. of Gold Medals won By Female","3"
"France","2000","Medals Won By Women %","0.203125"
"France","2000","Total No. of Female Participants","125"
